t (s),V (mV)
590.909,10.6196
591.91,10.6171
592.91,10.6122
593.909,10.6092
594.91,10.6054
595.91,10.601
596.909,10.5979
597.909,10.593
598.909,10.5894
599.908,10.5854
600.909,10.5824
601.909,10.5779
602.908,10.5746
603.909,10.5693
604.909,10.5656
643.252,10.4188
644.302,10.4151
645.352,10.4101
646.402,10.4074
647.408,10.4045
648.409,10.4006
649.409,10.3969
650.409,10.3928
651.409,10.3891
652.409,10.3848
653.409,10.382
654.409,10.3778
655.409,10.3745
656.409,10.3703
657.408,10.3664
658.409,10.363
659.409,10.3585
660.409,10.3532
661.409,10.3499
662.409,10.3459
663.408,10.3426
664.409,10.338
665.409,10.3344
666.409,10.3308
667.409,10.3299
668.409,10.325
669.409,10.3207
670.409,10.316
671.409,10.3124
672.409,10.3079
673.409,10.3055
674.409,10.3024
675.409,10.2983
676.409,10.2958
677.409,10.292
678.409,10.2887
679.409,10.285
680.409,10.2816
681.409,10.2785
682.409,10.2747
683.409,10.2703
684.409,10.2667
685.409,10.2633
686.409,10.26
687.409,10.2559
688.409,10.253
689.409,10.2493
690.409,10.2457
691.409,10.2433
692.409,10.2405
693.409,10.2376
694.408,10.2341
695.409,10.2311
696.409,10.2288
697.409,10.2255
698.409,10.222
699.409,10.218
700.409,10.215
701.409,10.2105
702.409,10.2081
703.409,10.2041
704.409,10.1999
705.409,10.1959
706.409,10.1919
707.409,10.1897
708.409,10.1839
709.409,10.1793
710.408,10.1735
711.409,10.1707
712.409,10.1655
713.409,10.1807
714.409,10.1609
715.408,10.154
716.409,10.1506
717.409,10.1482
718.409,10.1442
719.409,10.1409
720.409,10.1373
721.408,10.1343
722.409,10.1314
723.409,10.1278
724.408,10.1242
725.409,10.1207
726.409,10.1183
727.409,10.1139
728.409,10.1107
729.409,10.108
730.408,10.1045
731.409,10.1009
732.409,10.0977
733.408,10.0933
734.409,10.0899
735.409,10.0868
736.409,10.0828
737.409,10.0793
738.409,10.0761
739.409,10.0724
740.409,10.0692
741.408,10.0654
742.409,10.0625
743.409,10.0597
744.409,10.0563
745.409,10.0531
746.408,10.049
747.409,10.0453
748.409,10.0425
749.409,10.0394
750.409,10.0362
751.409,10.0324
752.409,10.0302
753.409,10.0269
754.409,10.0234
755.409,10.0198
756.409,10.0171
757.409,10.0133
758.409,10.0096
759.409,10.0059
760.408,10.0033
761.41,9.9987
762.41,9.995
763.41,9.9907
764.41,9.9865
765.41,9.9831
